feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,min_rank_xxlarge,avg_rank,max_rank,min_rank_overall
total_num_transfers_rank,0.0,1.0,0.0,0.0,1.0,0.4,1.0,0.0
total_is_min_transfers,0.0,0.0,1.0,1.0,2.0,0.8,2.0,0.0
legs0_num_transfers_rank,2.0,3.0,2.0,2.0,0.0,1.8,3.0,0.0
price_from_median_zscore,0.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0
price_percentile,2.0,0.0,2.0,3.0,4.0,2.2,4.0,0.0
legs0_segments0_flightNumber,4.0,4.0,6.0,1.0,0.0,3.0,6.0,0.0
price_per_duration,1.0,1.0,1.0,4.0,9.0,3.2,9.0,1.0
price_per_duration_rank,11.0,5.0,0.0,0.0,1.0,3.4,11.0,0.0
companyID,5.0,3.0,3.0,8.0,6.0,5.0,8.0,3.0
has_access_tp,2.0,4.0,6.0,11.0,11.0,6.8,11.0,2.0
pricingInfo_isAccessTP,3.0,5.0,7.0,10.0,9.0,6.8,10.0,3.0
days_before_departure,3.0,6.0,9.0,9.0,10.0,7.4,10.0,3.0
legs0_mean_cabin,9.0,8.0,8.0,8.0,4.0,7.4,9.0,4.0
price_minus_fee_rank,16.0,11.0,5.0,5.0,3.0,8.0,16.0,3.0
price_per_fee,7.0,9.0,10.0,10.0,11.0,9.4,11.0,7.0
price_per_fee_rank,19.0,12.0,7.0,6.0,7.0,10.2,19.0,6.0
both_legs_carrier_all_same,20.0,9.0,6.0,12.0,5.0,10.4,20.0,5.0
legs0_arrivalAt_hour,8.0,8.0,11.0,11.0,15.0,10.6,15.0,8.0
legs0_departureAt_hour,9.0,7.0,12.0,12.0,16.0,11.2,16.0,7.0
price_per_tax,6.0,10.0,13.0,13.0,14.0,11.2,14.0,6.0
legs0_segments0_cabinClass,15.0,6.0,11.0,6.0,19.0,11.4,19.0,6.0
total_weighted_mean_cabin,5.0,18.0,7.0,14.0,14.0,11.6,18.0,5.0
totalPrice_rank,22.0,13.0,8.0,7.0,8.0,11.6,22.0,7.0
legs0_segments0_baggageAllowance_quantity,10.0,10.0,15.0,13.0,12.0,12.0,15.0,10.0
log_price,10.0,14.0,15.0,16.0,21.0,15.2,21.0,10.0
price_minus_fee,12.0,16.0,16.0,17.0,19.0,16.0,19.0,12.0
miniRules1_monetaryAmount,11.0,19.0,19.0,21.0,14.0,16.8,21.0,11.0
legs1_weighted_mean_cabin,11.0,10.0,8.0,24.0,31.0,16.8,31.0,8.0
isVip,27.0,15.0,23.0,14.0,13.0,18.4,27.0,13.0
legs0_segments0_seatsAvailable,17.0,23.0,21.0,15.0,18.0,18.8,23.0,15.0
legs0_segments0_operatingCarrier_code_in_ff,34.0,20.0,15.0,12.0,13.0,18.8,34.0,12.0
baggage_total,19.0,19.0,25.0,15.0,17.0,19.0,25.0,15.0
duration_ratio,33.0,19.0,14.0,14.0,17.0,19.4,33.0,14.0
taxes,14.0,17.0,22.0,26.0,25.0,20.8,26.0,14.0
legs1_segments0_marketingCarrier_code,13.0,29.0,14.0,44.0,6.0,21.2,44.0,6.0
legs1_departureAt_hour,35.0,27.0,17.0,17.0,12.0,21.6,35.0,12.0
corporateTariffCode,25.0,21.0,20.0,20.0,22.0,21.6,25.0,20.0
legs1_segments0_flightNumber,37.0,31.0,18.0,18.0,5.0,21.8,37.0,5.0
nationality,12.0,33.0,22.0,24.0,18.0,21.8,33.0,12.0
total_duration,21.0,24.0,11.0,17.0,41.0,22.8,41.0,11.0
legs1_segments0_baggageAllowance_quantity,37.0,25.0,9.0,16.0,30.0,23.4,37.0,9.0
total_duration_rank,18.0,27.0,23.0,24.0,26.0,23.6,27.0,18.0
legs1_arrivalAt_hour,39.0,33.0,19.0,21.0,13.0,25.0,39.0,13.0
tax_rate,26.0,32.0,24.0,22.0,24.0,25.6,32.0,22.0
legs0_segments0_aircraft_code,24.0,25.0,25.0,25.0,32.0,26.2,32.0,24.0
unmatched_duration_rank,25.0,26.0,26.0,28.0,27.0,26.4,28.0,25.0
unmatched_duration,15.0,18.0,32.0,32.0,38.0,27.0,38.0,15.0
miniRules0_statusInfos,6.0,17.0,50.0,7.0,56.0,27.2,56.0,6.0
legs1_main_carrier,29.0,25.0,21.0,18.0,43.0,27.2,43.0,18.0
legs0_main_carrier,36.0,31.0,36.0,30.0,7.0,28.0,36.0,7.0
baggage_total_rank,50.0,23.0,17.0,35.0,15.0,28.0,50.0,15.0
legs0_segments0_marketingCarrier_code,38.0,35.0,41.0,11.0,16.0,28.2,41.0,11.0
searchRoute,13.0,15.0,29.0,37.0,47.0,28.2,47.0,13.0
legs0_segments0_duration_rank,38.0,27.0,27.0,23.0,34.0,29.8,38.0,23.0
legs0_weighted_mean_cabin,14.0,14.0,115.0,4.0,3.0,30.0,115.0,3.0
legs0_max_duration_cabin,4.0,7.0,18.0,7.0,116.0,30.4,116.0,4.0
legs0_arrivalAt_weekday,28.0,34.0,31.0,29.0,31.0,30.6,34.0,28.0
legs0_departureAt_weekday,27.0,37.0,30.0,31.0,30.0,31.0,37.0,27.0
has_baggage,3.0,4.0,17.0,22.0,111.0,31.4,111.0,3.0
legs0_segments0_duration,18.0,20.0,24.0,45.0,52.0,31.8,52.0,18.0
isAccess3D,32.0,14.0,31.0,18.0,66.0,32.2,66.0,14.0
is_popular_route,26.0,33.0,10.0,27.0,68.0,32.8,68.0,10.0
legs0_duration,20.0,22.0,34.0,32.0,56.0,32.8,56.0,20.0
days_between_departure_arrival,47.0,40.0,28.0,27.0,23.0,33.0,47.0,23.0
legs0_segments0_departureFrom_airport_iata,23.0,28.0,39.0,42.0,38.0,34.0,42.0,23.0
total_fees,40.0,28.0,38.0,30.0,34.0,34.0,40.0,28.0
legs0_segments0_arrivalTo_airport_iata,30.0,35.0,40.0,44.0,23.0,34.4,44.0,23.0
total_fees_rank,42.0,42.0,50.0,23.0,17.0,34.8,50.0,17.0
legs0_duration_rank,33.0,38.0,35.0,34.0,39.0,35.8,39.0,33.0
legs1_segments0_seatsAvailable,53.0,48.0,33.0,30.0,20.0,36.8,53.0,20.0
legs1_segments0_cabinClass,7.0,66.0,4.0,47.0,61.0,37.0,66.0,4.0
legs1_segments0_operatingCarrier_code,39.0,59.0,32.0,33.0,25.0,37.6,59.0,25.0
legs0_segments1_baggageAllowance_quantity,37.0,57.0,47.0,28.0,21.0,38.0,57.0,21.0
legs1_departureAt_day_period,59.0,40.0,13.0,13.0,66.0,38.2,66.0,13.0
miniRules1_statusInfos,7.0,37.0,32.0,50.0,67.0,38.6,67.0,7.0
legs0_departureAt_business_time,44.0,59.0,52.0,21.0,20.0,39.2,59.0,20.0
has_fees,4.0,2.0,60.0,23.0,108.0,39.4,108.0,2.0
legs1_segments0_aircraft_code,43.0,49.0,37.0,33.0,37.0,39.8,49.0,33.0
is_cheapest,44.0,38.0,27.0,44.0,48.0,40.2,48.0,27.0
legs1_duration,55.0,32.0,53.0,20.0,44.0,40.8,55.0,20.0
miniRules0_monetaryAmount,32.0,44.0,63.0,69.0,5.0,42.6,69.0,5.0
legs1_matched_duration_sum_rank,9.0,84.0,44.0,41.0,40.0,43.6,84.0,9.0
legs0_segments0_operatingCarrier_code,42.0,47.0,41.0,22.0,69.0,44.2,69.0,22.0
legs0_segments0_arrivalTo_airport_city_iata,29.0,36.0,41.0,58.0,58.0,44.4,58.0,29.0
legs0_segments0_baggageAllowance_weightMeasurementType,13.0,16.0,131.0,48.0,18.0,45.2,131.0,13.0
totalPrice,42.0,35.0,51.0,55.0,46.0,45.8,55.0,35.0
legs0_matched_duration_sum_rank,65.0,42.0,44.0,38.0,42.0,46.2,65.0,38.0
legs1_segments0_departureFrom_airport_iata,69.0,53.0,45.0,54.0,10.0,46.2,69.0,10.0
legs1_segments0_duration,67.0,43.0,43.0,31.0,49.0,46.6,67.0,31.0
legs1_arrivalAt_day_period,47.0,36.0,28.0,90.0,36.0,47.4,90.0,28.0
legs1_segments0_duration_rank,71.0,65.0,38.0,35.0,33.0,48.4,71.0,33.0
legs1_duration_rank,53.0,67.0,46.0,41.0,36.0,48.6,67.0,36.0
legs0_departureAt_day_period,79.0,64.0,40.0,49.0,12.0,48.8,79.0,12.0
all_matched_duration_sum,63.0,55.0,29.0,61.0,47.0,51.0,63.0,29.0
legs1_segments0_operatingCarrier_code_in_ff,35.0,39.0,83.0,69.0,36.0,52.4,83.0,35.0
legs1_arrivalAt_weekday,78.0,70.0,48.0,39.0,29.0,52.8,78.0,29.0
legs1_departureAt_weekday,72.0,71.0,49.0,46.0,28.0,53.2,72.0,28.0
legs1_segments0_arrivalTo_airport_iata,57.0,55.0,46.0,58.0,51.0,53.4,58.0,46.0
legs0_arrivalAt_business_time,56.0,64.0,54.0,49.0,51.0,54.8,64.0,49.0
legs0_segments1_duration,36.0,41.0,81.0,93.0,27.0,55.6,93.0,27.0
legs0_matched_duration_sum,54.0,46.0,56.0,60.0,64.0,56.0,64.0,46.0
sex,64.0,70.0,55.0,48.0,45.0,56.4,70.0,45.0
legs1_segments0_arrivalTo_airport_city_iata,85.0,52.0,64.0,46.0,37.0,56.8,85.0,37.0
legs1_departureAt_business_time,87.0,61.0,57.0,43.0,37.0,57.0,87.0,37.0
legs0_arrivalAt_day_period,73.0,84.0,51.0,54.0,26.0,57.6,84.0,26.0
legs1_segments1_aircraft_code,33.0,97.0,89.0,28.0,43.0,58.0,97.0,28.0
is_legs0_legs1_cabin_same,59.0,68.0,60.0,56.0,56.0,59.8,68.0,56.0
legs1_arrivalAt_business_time,65.0,58.0,68.0,65.0,48.0,60.8,68.0,48.0
legs0_segments1_flightNumber,31.0,39.0,80.0,78.0,91.0,63.8,91.0,31.0
legs0_segments1_arrivalTo_airport_iata,48.0,62.0,102.0,102.0,8.0,64.4,102.0,8.0
legs1_segments1_flightNumber,28.0,69.0,77.0,84.0,64.0,64.4,84.0,28.0
n_ff_programs,66.0,74.0,66.0,63.0,62.0,66.2,74.0,62.0
legs1_matched_duration_sum,66.0,80.0,61.0,66.0,61.0,66.8,80.0,61.0
legs0_segments1_duration_rank,56.0,69.0,84.0,42.0,109.0,72.0,109.0,42.0
legs1_max_duration_cabin,66.0,17.0,132.0,128.0,21.0,72.8,132.0,17.0
legs1_segments1_duration,103.0,79.0,97.0,86.0,7.0,74.4,103.0,7.0
legs1_segments1_seatsAvailable,111.0,92.0,104.0,60.0,9.0,75.2,111.0,9.0
has_frequentFlyer,71.0,83.0,58.0,79.0,86.0,75.4,86.0,58.0
legs1_segments1_baggageAllowance_quantity,16.0,112.0,123.0,25.0,115.0,78.2,123.0,16.0
legs0_segments1_aircraft_code,49.0,63.0,88.0,87.0,107.0,78.8,107.0,49.0
legs0_segments0_marketingCarrier_code_in_ff,53.0,123.0,124.0,35.0,62.0,79.4,124.0,35.0
is_max_duration_cabin_same,41.0,117.0,113.0,108.0,19.0,79.6,117.0,19.0
legs0_segments1_arrivalTo_airport_city_iata,43.0,60.0,89.0,101.0,122.0,83.0,122.0,43.0
legs1_departureAt_is_weekend,131.0,71.0,31.0,95.0,88.0,83.2,131.0,31.0
legs0_segments1_seatsAvailable,52.0,75.0,99.0,121.0,77.0,84.8,121.0,52.0
legs0_arrivalAt_is_weekend,110.0,92.0,107.0,99.0,39.0,89.4,110.0,39.0
legs0_departureAt_is_weekend,101.0,117.0,79.0,71.0,91.0,91.8,117.0,71.0
legs1_arrivalAt_is_weekend,133.0,83.0,91.0,108.0,77.0,98.4,133.0,77.0
legs1_segments0_marketingCarrier_code_in_ff,64.0,131.0,139.0,42.0,123.0,99.8,139.0,42.0
legs1_segments1_duration_rank,125.0,104.0,92.0,95.0,103.0,103.8,125.0,92.0
legs0_is_min_transfers,8.0,2.0,3.0,1.0,9999.0,2002.6,9999.0,1.0
legs1_num_transfers_rank,15.0,22.0,10.0,2.0,9999.0,2009.6,9999.0,2.0
legs1_mean_cabin,113.0,6.0,3.0,9999.0,53.0,2034.8,9999.0,3.0
legs1_segments0_baggageAllowance_weightMeasurementType,5.0,24.0,29.0,137.0,9999.0,2038.8,9999.0,5.0
total_num_transfers,136.0,43.0,22.0,9999.0,3.0,2040.6,9999.0,3.0
legs0_segments1_marketingCarrier_code,19.0,41.0,125.0,65.0,9999.0,2049.8,9999.0,19.0
legs0_segments1_operatingCarrier_code,45.0,45.0,120.0,125.0,9999.0,2066.8,9999.0,45.0
legs0_segments1_departureFrom_airport_iata,26.0,80.0,105.0,140.0,9999.0,2070.0,9999.0,26.0
legs1_segments1_arrivalTo_airport_iata,68.0,102.0,87.0,114.0,9999.0,2074.0,9999.0,68.0
legs1_segments1_operatingCarrier_code,24.0,113.0,111.0,141.0,9999.0,2077.6,9999.0,24.0
legs1_segments1_departureFrom_airport_iata,73.0,75.0,122.0,144.0,9999.0,2082.6,9999.0,73.0
legs1_segments1_arrivalTo_airport_city_iata,113.0,98.0,105.0,120.0,9999.0,2087.0,9999.0,98.0
miniRules0_percentage,156.0,132.0,116.0,34.0,9999.0,2087.4,9999.0,34.0
legs0_segments1_operatingCarrier_code_in_ff,99.0,128.0,127.0,9999.0,128.0,2096.2,9999.0,99.0
miniRules1_percentage,21.0,15.0,9999.0,93.0,9999.0,4025.4,9999.0,15.0
legs1_segments1_marketingCarrier_code,16.0,51.0,132.0,9999.0,9999.0,4039.4,9999.0,16.0
legs0_segments1_marketingCarrier_code_in_ff,68.0,45.0,120.0,9999.0,9999.0,4046.2,9999.0,45.0
legs1_segments1_operatingCarrier_code_in_ff,10.0,113.0,131.0,9999.0,9999.0,4050.4,9999.0,10.0
legs1_segments1_cabinClass,103.0,9.0,9999.0,146.0,9999.0,4051.2,9999.0,9.0
legs0_segments2_baggageAllowance_quantity,59.0,143.0,9999.0,63.0,9999.0,4052.6,9999.0,59.0
legs1_segments2_flightNumber,93.0,154.0,136.0,9999.0,9999.0,4076.2,9999.0,93.0
legs0_segments2_flightNumber,122.0,127.0,9999.0,147.0,9999.0,4078.8,9999.0,122.0
legs1_segments2_duration,9999.0,125.0,146.0,139.0,9999.0,4081.6,9999.0,125.0
legs0_segments2_arrivalTo_airport_iata,155.0,132.0,9999.0,146.0,9999.0,4086.2,9999.0,132.0
