feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,avg_rank,max_rank,min_rank_overall
total_is_min_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_num_transfers_rank,1.0,1.0,0.0,1.0,0.75,1.0,0.0
legs0_segments0_flightNumber,4.0,1.0,0.0,1.0,1.5,4.0,0.0
price_per_duration,0.0,2.0,2.0,6.0,2.5,6.0,0.0
duration_percentile,3.0,0.0,1.0,15.0,4.75,15.0,0.0
companyID,5.0,4.0,12.0,4.0,6.25,12.0,4.0
legs0_num_transfers_rank,3.0,2.0,3.0,18.0,6.5,18.0,2.0
price_per_duration_rank,13.0,3.0,5.0,7.0,7.0,13.0,3.0
has_baggage,6.0,7.0,13.0,2.0,7.0,13.0,2.0
price_rank_times_duration_rank,10.0,5.0,6.0,8.0,7.25,10.0,5.0
legs1_mean_cabin,6.0,4.0,14.0,6.0,7.5,14.0,4.0
price_ratio_group_max,12.0,9.0,7.0,3.0,7.75,12.0,3.0
price_from_median_zscore,2.0,6.0,9.0,14.0,7.75,14.0,2.0
price_percentile,1.0,8.0,13.0,10.0,8.0,13.0,1.0
legs0_weighted_mean_cabin,10.0,14.0,6.0,2.0,8.0,14.0,2.0
has_access_tp,2.0,11.0,7.0,13.0,8.25,13.0,2.0
price_per_fee_rank,15.0,11.0,3.0,5.0,8.5,15.0,3.0
pricingInfo_isAccessTP,5.0,9.0,9.0,12.0,8.75,12.0,5.0
days_before_departure,7.0,10.0,8.0,12.0,9.25,12.0,7.0
price_minus_fee_rank,19.0,12.0,4.0,2.0,9.25,19.0,2.0
total_weighted_mean_cabin,8.0,6.0,13.0,13.0,10.0,13.0,6.0
legs0_arrivalAt_hour,8.0,7.0,10.0,16.0,10.25,16.0,7.0
legs0_mean_cabin,7.0,5.0,25.0,5.0,10.5,25.0,5.0
both_legs_carrier_all_same,15.0,5.0,8.0,15.0,10.75,15.0,5.0
legs0_departureAt_hour,6.0,13.0,11.0,13.0,10.75,13.0,6.0
legs0_segments0_baggageAllowance_quantity,9.0,16.0,9.0,16.0,12.5,16.0,9.0
log_price_times_rank,14.0,14.0,14.0,17.0,14.75,17.0,14.0
baggage_total,13.0,24.0,19.0,3.0,14.75,24.0,3.0
price_per_fee,9.0,16.0,16.0,19.0,15.0,19.0,9.0
duration_ratio_group_max,17.0,15.0,15.0,18.0,16.25,18.0,15.0
legs1_weighted_mean_cabin,10.0,10.0,38.0,8.0,16.5,38.0,8.0
price_per_tax,11.0,18.0,18.0,21.0,17.0,21.0,11.0
legs1_arrivalAt_day_period,27.0,9.0,14.0,21.0,17.75,27.0,9.0
legs1_departureAt_hour,25.0,23.0,16.0,9.0,18.25,25.0,9.0
legs1_segments0_marketingCarrier_code,24.0,18.0,28.0,3.0,18.25,28.0,3.0
total_fees,12.0,37.0,29.0,6.0,21.0,37.0,6.0
legs1_arrivalAt_hour,21.0,26.0,27.0,11.0,21.25,27.0,11.0
duration_ratio,23.0,19.0,19.0,24.0,21.25,24.0,19.0
price_ratio_times_duration_ratio,18.0,17.0,23.0,27.0,21.25,27.0,17.0
log_price_times_ratio,20.0,22.0,20.0,26.0,22.0,26.0,20.0
log_duration_times_rank,21.0,20.0,22.0,25.0,22.0,25.0,20.0
legs0_segments0_seatsAvailable,31.0,21.0,17.0,20.0,22.25,31.0,17.0
legs1_segments0_flightNumber,41.0,29.0,21.0,0.0,22.75,41.0,0.0
legs1_main_carrier,41.0,20.0,27.0,4.0,23.0,41.0,4.0
totalPrice_rank,26.0,24.0,24.0,23.0,24.25,26.0,23.0
price_dev_times_cabin,16.0,19.0,31.0,32.0,24.5,32.0,16.0
log_price,16.0,23.0,29.0,31.0,24.75,31.0,16.0
isVip,23.0,22.0,21.0,35.0,25.25,35.0,21.0
baggage_total_rank,57.0,19.0,25.0,4.0,26.25,57.0,4.0
duration_ratio_group_mean,32.0,25.0,25.0,28.0,27.5,32.0,25.0
log_price_times_isVip,27.0,24.0,35.0,27.0,28.25,35.0,24.0
price_minus_group_mean,24.0,31.0,28.0,32.0,28.75,32.0,24.0
price_minus_fee,25.0,30.0,33.0,30.0,29.5,33.0,25.0
log_duration_minus_group_mean,33.0,12.0,36.0,38.0,29.75,38.0,12.0
corporateTariffCode,23.0,33.0,30.0,33.0,29.75,33.0,23.0
log_price_dev_times_cabin,45.0,35.0,18.0,24.0,30.5,45.0,18.0
legs1_segments0_operatingCarrier_code,46.0,25.0,24.0,30.0,31.25,46.0,24.0
duration_minus_group_mean,28.0,32.0,32.0,34.0,31.5,34.0,28.0
price_ratio_group_mean,29.0,28.0,34.0,37.0,32.0,37.0,28.0
is_popular_route,38.0,13.0,11.0,69.0,32.75,69.0,11.0
legs0_departureAt_day_period,60.0,30.0,23.0,18.0,32.75,60.0,18.0
legs0_main_carrier,35.0,28.0,48.0,23.0,33.5,48.0,23.0
legs0_segments0_operatingCarrier_code_in_ff,14.0,13.0,10.0,97.0,33.5,97.0,10.0
legs0_segments0_cabinClass,26.0,12.0,11.0,86.0,33.75,86.0,11.0
log_duration_times_ratio,27.0,33.0,35.0,41.0,34.0,41.0,27.0
miniRules1_monetaryAmount,19.0,39.0,54.0,25.0,34.25,54.0,19.0
log_price_minus_group_mean,24.0,39.0,36.0,40.0,34.75,40.0,24.0
total_fees_rank,50.0,47.0,19.0,23.0,34.75,50.0,19.0
taxes,22.0,36.0,43.0,42.0,35.75,43.0,22.0
unmatched_duration_rank,25.0,28.0,48.0,43.0,36.0,48.0,25.0
legs0_departureAt_business_time,74.0,43.0,17.0,14.0,37.0,74.0,14.0
legs1_departureAt_day_period,28.0,16.0,18.0,87.0,37.25,87.0,16.0
duration_dev_times_cabin,34.0,40.0,42.0,39.0,38.75,42.0,34.0
legs0_segments0_aircraft_code,36.0,38.0,41.0,41.0,39.0,41.0,36.0
days_between_departure_arrival,51.0,40.0,39.0,29.0,39.75,51.0,29.0
legs1_segments0_seatsAvailable,59.0,43.0,37.0,22.0,40.25,59.0,22.0
ratio_max_times_isVip,40.0,37.0,35.0,51.0,40.75,51.0,35.0
tax_rate,49.0,41.0,38.0,36.0,41.0,49.0,36.0
searchRoute,30.0,47.0,44.0,43.0,41.0,47.0,30.0
total_duration_rank,30.0,53.0,38.0,44.0,41.25,53.0,30.0
log_duration_dev_times_cabin,52.0,25.0,43.0,47.0,41.75,52.0,25.0
legs0_segments0_operatingCarrier_code,33.0,44.0,40.0,52.0,42.25,52.0,33.0
isAccess3D,13.0,29.0,41.0,89.0,43.0,89.0,13.0
price_rank,45.0,50.0,47.0,33.0,43.75,50.0,33.0
legs0_arrivalAt_day_period,98.0,29.0,24.0,26.0,44.25,98.0,24.0
legs1_max_duration_cabin,11.0,7.0,151.0,8.0,44.25,151.0,7.0
legs0_duration,31.0,77.0,41.0,34.0,45.75,77.0,31.0
total_duration,34.0,55.0,29.0,76.0,48.5,76.0,29.0
legs0_segments0_arrivalTo_airport_iata,56.0,50.0,62.0,28.0,49.0,62.0,28.0
legs0_departureAt_weekday,55.0,47.0,47.0,49.0,49.5,55.0,47.0
unmatched_duration,38.0,50.0,53.0,59.0,50.0,59.0,38.0
